protocol_type,service,flag,duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
tcp,private,S0,0,14319,25621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,7,0.9962830372150464,0.005401328223401125,0.016458209310643603,0.04929882797903387,0.9529135739640364,0.9320746005734919,0.09267739220167276,5,217,0.9867116623876809,0.06304410716099888,0.058020879921118144,0.05123601981625782,0.08341447951236707,0.0038150250026428357,0.03621835153208186,0.08199493489466018
icmp,private,S0,2,27931,24860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,3,0.9594877972080156,0.08286771499321216,0.0791184745337159,0.07132758176952479,0.9568189178770375,0.9761168482593489,0.008949455252959182,69,33,0.9838245700582889,0.025998282497641745,0.09013120641584686,0.08766708901147727,0.09739708112144801,0.05539521610280229,0.04764732944498939,0.06745837513491562
udp,private,S0,3,45026,27645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,9,0.945868598459679,0.032670006614071316,0.033635109585329274,0.034370170852754636,0.9892666059592015,0.9181940238559502,0.03856713858791353,171,18,0.9113675385863813,0.08348854280346155,0.06034866989223192,0.010452995275661925,0.014255127572363658,0.06023008559104486,0.025329414525977624,0.011225355813553873
icmp,private,S0,0,32622,34957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,8,0.8203441808100017,0.07728197778759505,0.03218123254175361,0.044017500955551125,0.9460550125351509,0.8977598090432474,0.09131003511284538,77,134,0.9028395409208044,0.05006937337956907,0.019445387621839585,0.0023316675500722585,0.08510774755180756,0.08111338772140976,0.013020040871150662,0.09096774981131936
udp,private,S0,0,39767,23584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,4,0.9586773136332174,0.01749555142200938,0.0216829408250373,0.028185661964280708,0.940953649786019,0.9010131318919938,0.09421249578040351,62,26,0.9296255107255669,0.07387890765712912,0.0953942451403805,0.0008999078495119606,0.03212947051877992,0.011171410347059596,0.0026721991643776314,0.05242220686631315
tcp,private,S0,3,42840,11615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,4,0.895757466715225,0.03406600955609337,0.09190409210697081,0.038787432923046254,0.9018329603833048,0.9291522609545965,0.09946845444456884,56,194,0.9767843649470263,0.0410998402349984,0.08882961163384284,0.05056628685037887,0.0868937907807049,0.035570912877277774,0.009508514509819765,0.00865372080365977
udp,private,S0,0,24318,10644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,10,0.9381851984229819,0.060950805219307284,0.0038549113869638107,0.0035778512845014102,0.987953505432609,0.8756789765336139,0.040475451629714915,96,154,0.9735062627744692,0.08193896072337684,0.03220860166650524,0.03830439720041565,0.05648769205520964,0.03575780198079497,0.05377072397513242,8.474681356720471e-05
icmp,private,S0,3,21358,48475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,3,0.9916559930667378,0.046743191826841814,0.09783318777613388,0.005492240384125247,0.9838624583933336,0.9985966616075139,0.01775703050150661,174,69,0.9452069392454583,0.09436558193920941,0.009845365464343803,0.05825440079663202,0.09421173222003906,0.09792901468716464,0.0918330863744071,0.09749264438197011
icmp,private,S0,0,48853,35869,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,453,1,0.9040064825419284,0.021112707877422032,0.010136277895512014,0.06406297397786921,0.9354690533710937,0.8346246283357108,0.08779931840991559,34,0,0.9929415328351228,0.0035918617579112078,0.0857928344731424,0.06889579513439527,0.042391649176239166,0.08898608636409085,0.03939191211474974,0.005971136849930137
tcp,private,S0,8,37410,34598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,8,0.9484306646882876,0.07221276064373626,0.08341655250595315,0.008616254013370584,0.906662161263261,0.8588810412248906,0.05517593740078054,94,251,0.9873980105636353,0.04715883001297704,0.051969313546262164,0.06031012806226077,0.04302396073629287,0.015183376449456921,0.022816851658875315,0.0021701620432625136
